-12.75,-23.85
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.00,-64.52
34.24,-66.73
39.27,-50.76
75.50,-9.00
-12.75,-23.85
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.76,-63.16
34.24,-66.73
39.27,-50.76
75.50,-9.00
-12.75,-23.85
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
18.80,-66.61
34.49,-67.76
39.27,-50.76
75.50,-9.00
-12.75,-23.85
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.50,-65.99
34.39,-67.35
39.27,-50.76
75.50,-9.00
-12.75,-23.85
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.76,-66.37
34.36,-67.26
39.27,-50.76
75.50,-9.00
-8.61,-23.32
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.70,-66.07
34.36,-67.26
39.27,-50.76
75.50,-9.00
2.14,-26.77
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.41,-66.56
34.36,-67.26
39.27,-50.76
75.50,-9.00
13.37,-33.62
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.36,-67.26
39.27,-50.76
75.50,-9.00
23.67,-43.12
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.36,-67.26
39.27,-50.76
75.50,-9.00
30.94,-52.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.36,-67.26
39.27,-50.76
75.50,-9.00
52.00,-73.88
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.36,-67.26
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.47,-67.68
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.39,-67.38
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.36,-67.29
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.36,-67.29
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
-2.58,-16.85
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
7.26,-24.97
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
15.82,-35.16
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
21.17,-46.41
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
21.48,-48.04
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
22.17,-51.88
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.44,-66.42
34.37,-67.30
39.27,-50.76
75.50,-9.00
72.68,-97.78
22.17,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
22.91,-66.05
34.37,-67.30
39.27,-50.76
75.50,-9.00
67.02,-85.58
22.16,-51.91
6.69,-12.01
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.02,-63.48
34.33,-67.17
39.27,-50.76
75.50,-9.00
61.06,-72.70
22.16,-51.91
24.51,-30.50
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
18.62,-65.60
34.37,-67.27
39.27,-50.76
75.50,-9.00
61.33,-59.91
22.16,-51.91
28.74,-34.98
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
18.91,-65.89
34.37,-67.27
39.27,-50.76
75.50,-9.00
58.02,-48.10
22.16,-51.91
31.37,-42.04
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
21.57,-67.86
34.37,-67.27
39.27,-50.76
75.50,-9.00
62.21,-44.38
22.16,-51.91
31.66,-46.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.16,-66.17
34.11,-67.11
39.27,-50.76
75.50,-9.00
71.36,-52.59
22.16,-51.91
23.76,-46.62
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.66,-66.36
35.46,-66.33
39.27,-50.76
75.50,-9.00
83.94,-56.83
22.16,-51.91
18.33,-35.60
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.66,-66.36
35.52,-66.20
39.27,-50.76
75.50,-9.00
97.75,-55.26
22.16,-51.91
15.27,-25.74
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.66,-66.36
35.52,-66.20
39.27,-50.76
75.50,-9.00
22.16,-51.91
18.35,-11.60
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.05,-64.23
34.83,-67.02
39.27,-50.76
75.50,-9.00
22.16,-51.91
20.30,2.75
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.35,-65.67
34.97,-67.03
39.27,-50.76
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
22.14,-66.11
35.01,-67.07
31.08,-51.35
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
20.33,-65.22
35.01,-67.07
38.40,-51.68
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.76,-66.65
35.01,-67.07
39.30,-52.03
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.33,-66.84
35.01,-67.07
39.06,-51.85
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.33,-66.84
35.01,-67.07
38.67,-52.29
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.21,-66.53
35.01,-67.07
38.48,-52.29
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
35.01,-67.07
38.26,-52.20
75.50,-9.00
22.16,-51.91
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
35.04,-67.22
37.99,-51.37
75.50,-9.00
22.16,-51.91
-20.56,-40.47
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
35.10,-67.57
38.17,-50.89
75.50,-9.00
22.16,-51.91
-15.91,-27.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
35.10,-67.60
38.44,-51.04
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
35.10,-67.60
39.30,-50.35
75.50,-9.00
-6.96,-12.53
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
35.10,-67.60
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
34.21,-63.02
39.30,-50.35
75.50,-9.00
7.85,-1.14
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.63,-60.28
39.30,-50.35
75.50,-9.00
13.41,-1.60
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.60,-60.16
39.30,-50.35
75.50,-9.00
13.41,-1.60
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.60,-60.16
39.30,-50.35
75.50,-9.00
19.38,-0.13
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.60,-60.16
39.30,-50.35
75.50,-9.00
24.58,0.77
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.60,-60.16
39.30,-50.35
75.50,-9.00
37.12,1.68
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.60,-60.16
39.30,-50.35
75.50,-9.00
50.24,1.89
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.50
33.58,-60.13
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.52
33.58,-60.13
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.52
33.58,-60.13
39.30,-50.35
75.50,-9.00
10.56,0.47
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.27,-66.52
34.98,-67.04
39.30,-50.35
75.50,-9.00
37.28,2.02
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
25.25,-66.52
34.27,-64.99
39.30,-50.35
75.50,-9.00
50.95,3.57
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
20.53,-65.01
33.83,-64.70
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
19.33,-66.42
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.74,-66.30
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.80,-66.30
33.74,-64.64
39.30,-50.35
75.50,-9.00
68.71,-0.69
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.76,-66.32
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.56,-63.84
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
21.30,-65.63
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
18.58,-66.07
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
21.18,-65.08
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.43,-66.45
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
18.44,-66.06
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
19.38,-65.35
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
21.23,-67.33
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.46,-65.44
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
20.26,-64.04
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.83,-65.54
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.24,-67.86
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
23.68,-66.11
33.74,-64.64
39.30,-50.35
75.50,-9.00
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.01,-66.47
33.74,-64.64
39.30,-50.35
75.50,-9.00
80.08,-27.44
11.83,0.51
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.01,-66.47
33.74,-64.64
39.30,-50.35
75.50,-9.00
41.27,-34.59
13.60,0.48
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.01,-66.47
33.95,-65.51
39.30,-50.35
75.50,-9.00
27.54,-36.16
15.97,0.72
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.01,-66.47
33.77,-64.70
39.30,-50.35
75.50,-9.00
27.26,-36.16
13.98,0.45
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.36,-66.39
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
21.59,-66.36
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
20.09,-66.46
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
19.65,-67.19
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
24.08,-66.49
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
19.48,-65.50
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
15.50,-30.50
24.00,-59.84
23.50,-35.50
18.50,1.50
22.19,-67.29
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
7.94,-10.97
15.50,-30.50
24.29,-59.28
23.50,-35.50
18.50,1.50
24.18,-67.07
33.74,-64.67
39.30,-50.35
75.50,-9.00
27.23,-36.16
13.74,0.42
29.61,-12.32
15.50,-30.50
24.29,-59.53
